university,country,language,non_eng_level,IELTS_min,GPA_min,SAT_min,accept-rate,international_cost_min,international_cost_max,local_rank,global_rank,scholarship,is_public,stud-faculty-ratio,,link
AGH University of Science and Technology (Kraków),Poland,"Polish, English",6.0,C1,0,0,55,2100,4200,Consistently ranks as a top technical university in Poland.,801-850,"Yes, though scholarships are limited. The university offers scholarships based on academic merit, and students may also be eligible for external scholarships like the NAWA Stefan Banach Scholarship Program.",Public,8:1,,https://www.agh.edu.pl/en/ 
Adam Mickiewicz University in Poznań,Poland,"Polish, English",6.0,C1,0,0,n,950,2000,Consistently ranks as one of the top 10 universities in Poland.,741-750,"Yes, but scholarships for international students are limited",Public,13:1,,https://amu.edu.pl/en// 
Wrocław University of Science and Technology,Poland,"Polish, English",6.5,C1,0,0,n,3000,5000,"Consistently ranks as one of the top technical universities in Poland, often placing in the top 5.",851-900,"Yes, but scholarships for international students are limited",Public,18.9:1,,https://pwr.edu.pl/en/ 
University of Wrocław,Poland,"Polish, English",6.0,C1,0,0,n,2200,9000,The University of Wrocław is consistently ranked as one of the top 10 universities in Poland.,741-750,"Yes, but scholarships are limited.",Public, 8:1,,https://international.uni.wroc.pl/en 
University of Lodz,Poland,"Polish, English",6.0,C1,0,0,n,2500,2500,The University of Lodz is consistently ranked among the top universities in Poland.,1001-1200,"Yes, though scholarships for international students can be limited.",Public,13:1,,https://www.uni.lodz.pl/en/
Nicolaus Copernicus University in Toruń,Poland,"Polish, English",6.0,C1,0,0,n,1500,2500,Nicolaus Copernicus University is consistently ranked as one of the top 10 universities in Poland.,1001-1200,"Yes, though university-specific scholarships for international students are limited.",Public,12:1,,https://www.umk.pl/en/ 
Gdańsk University of Technology,Poland,"Polish, English",6.0,C1,0,0,n,4661,4887,"Consistently ranks as one of the top technical universities in Poland, often placing in the top 5.",801-850,"Yes, but university-specific scholarships for international students are limited.",Public,18.9:1,,https://pg.edu.pl/en/
University of Gdańsk,Poland,"Polish, English",6.0,C1,0,0,n,2200,9000,The University of Gdańsk is consistently ranked as one of the top universities in Poland.,1201-1400,"Yes, though scholarships are limited ",Public,8:1,,https://en.ug.edu.pl/ 
Poznań University of Technology,Poland,"Polish, English",6.0,C1,0,0,25,3680,4870,Consistently ranks as one of the top technical universities in Poland.,851-900,"Yes, though university-specific scholarships for international students are limited.",Public,13:1,,https://put.poznan.pl/en/
Cracow University of Technology,Poland,"Polish, English",6.0,C1,0,0,n,5250,9000,Consistently ranks among the top technical universities in Poland.,1001-1200,"Yes, though university-specific scholarships are limited.",Public,15:1,,https://pk.edu.pl/en/ 
Medical University of Warsaw,Poland,"Polish, English",6.0,C1,0,0,n,5000,18485,The Medical University of Warsaw is consistently ranked as one of the top medical universities in Poland.,401-450 in Medicine.,"Yes, but scholarships are very limited for international students",Public,"The student-to-faculty ratio is not explicitly published, but the university is known for having a highly dedicated faculty and a relatively favorable ratio for a medical institution.",,https://www.wum.edu.pl/en/ 
Medical University of Gdańsk,Poland,"Polish, English",6.0,C1,0,0,n,6625,15500,"14/450+, one of the top medical universities in Poland",Ranking By Subject 2025: 601-650,"Yes, but university-specific scholarships for international students are limited.",Public,The student-to-faculty ratio is not explicitly published.,,https://admission.mug.edu.pl/ 
Medical University of Lodz,Poland,"Polish, English",6.0,C1,0,0,n,14200,14400,"The Medical University of Lodz is a top-ranked medical institution in Poland, often placing among the top 15 universities in the nation.",1025,No,Public,The student-to-faculty ratio is not explicitly published.,,https://studymed.umed.pl/ 
University of Silesia in Katowice,Poland,"Polish, English",6.0,C1,0,0,35,6350,9000,The University of Silesia in Katowice is consistently ranked among the top 20 universities in Poland.,1001-1200,"Yes, although university-specific scholarships for international students are limited. ",Public,11.3:1,,https://us.edu.pl/en/ 
Silesian University of Technology,Poland,"Polish, English",6.0,C1,0,0,n,4500,9000,"one of the top technical universities in Poland, often placing in the top 5.",1001-1200,"Yes, though university-specific scholarships for international students are limited.",Public,11.2:1,,https://www.polsl.pl/rd1-cos/en/
Warsaw School of Economics (SGH),Poland,"Polish, English",6.0,C1,0,0,25,5250,6500,"top economic university in Poland. In national rankings, it often places among the top 15 universities overall.",#51-60 in Business Analytics and #67 in Finance.,"Yes, but scholarships for international students are limited.",Public,"The university has over 820 academic staff, though an exact student-to-faculty ratio is not publicly available.",,https://www.sgh.waw.pl/en 
Poznan University of Medical Sciences,Poland,"Polish, English",6.5,C1,0,0,26,19050,20700,"ranked among the top medical universities in Poland, with a national rank of 16/450+",1200,"Yes, but scholarships are very limited for international students.",Public,The student-to-faculty ratio is not explicitly published.,,https://pums.ump.edu.pl/ 
University of Warmia and Mazury in Olsztyn,Poland,"Polish, English",6.0,C1,0,0,n,1350,12000,ranked as one of the top 25 universities in Poland.,1001-1200,"Yes, but university-specific scholarships for international students are limited.",Public,The student-to-faculty ratio is not explicitly published.,,https://uwm.edu.pl/en 
Maria Curie-Skłodowska University (Lublin),Poland,"Polish, English",6.0,C1,0,0,n,2500,4700,ranked as one of the top 15 universities in Poland.,1001-1200,"Yes, although university-specific scholarships for international students are limited. ",Public,The student-to-faculty ratio is not explicitly published.,,https://www.umcs.pl/en/
Wrocław Medical University,Poland,"Polish, English",6.5,C1,0,0,n,15700,18000,"ranked among the top medical universities in Poland, with a national ranking of 8/450+",501-600,"Yes, but scholarships for international students are limited.",Public,11:1,,https://www.umw.edu.pl/en 
University of Life Sciences in Poznań,Poland,"Polish, English",6.0,C1,0,0,60,3000,4000,ranked among the top universities of life and biological sciences in Poland.,1201-1500,"Yes, but university-specific scholarships for international students are limited.",Public,6:1,,https://puls.edu.pl/en/
Warsaw University of Life Sciences (SGGW),Poland,"Polish, English",6.0,C1,0,0,n,3600,5000,ranked as a top agricultural and life sciences university in Poland. Overall 22/450+,Rankings by Subject 2024: #41 in Agriculture & Forestry and #51-70 in Veterinary Sciences. Overall 1201-1500,"Yes, although university-specific scholarships for international students are limited. ",Public,13.7:1,,https://www.sggw.edu.pl/en
University of Bucharest,Romania,"Romanian, English, French",6.0,B2,0,0,n,2100,4500,"ranked as one of the top universities in Romania, often placing in the top 5.",1201-1400,"Yes, though university-specific scholarships for international students are limited. ",Public,24:1,,https://unibuc.ro/en// 
Babeș-Bolyai University (Cluj-Napoca),Romania,"Romanian, English, German, French, Hungarian",6.0,B2,0,0,n,2300,4500,1/87,801-850,"Yes, although university-specific scholarships for international students are limited. ",Public,25:1,,https://www.ubbcluj.ro/en/
Alexandru Ioan Cuza University (Iași),Romania,"Romanian, English, French",6.0,B2,0,0,65,2100,4500,"ranked as one of the top universities in Romania, often placing in the top 5.",1001-1200,"Yes, although university-specific scholarships for international students are limited. ",Public,14:1,,https://www.uaic.ro/en/ 
National University of Science and Technology POLITEHNICA Bucharest (formerly University Politehnica of Bucharest),Romania,"Romanian, English, French, German",6.5,B2,0,0,75,2600,3800,ranked as the top technical university in Romania.,1201-1400,"Yes, although university-specific scholarships for international students are limited. ",Public,22:1,,https://www.upb.ro/en/
West University of Timișoara,Romania,"Romanian, English, French, German",6.0,B2,0,0,n,918,2306,"ranked as one of the top universities in Romania, often placing in the top 5.",1201-1400,"Yes, although university-specific scholarships for international students are limited. ",Public,24:1,,https://www.uvt.ro/en/
Transilvania University of Brașov,Romania,"Romanian, English, German",6.5,B2,0,0,85,2160,3240,ranked as one of the top 10 universities in Romania.,1372,"Yes. The university offers the Transilvania Academica Scholarship, a fully funded program for non-EU/EEA students with exceptional academic achievements. It covers tuition, accommodation, and provides a monthly allowance.",Public,20:1,,https://www.unitbv.ro/en/
Technical University of Cluj-Napoca,Romania,"Romanian, English, French, German",6.0,B2,2.2,0,n,2300,4500," ranked as a top technical university in Romania, often placing in the top 10 nationally.",1201-1400,"Yes, though university-specific scholarships for international students are limited.",Public,21:1,,https://www.utcluj.ro/en/
"""Gheorghe Asachi"" Technical University of Iași",Romania,"Romanian, English, French, German",6.0,B2,0,0,n,2838,4087,The university is consistently ranked as a top technical university in Romania.,1201-1400,"Yes, though university-specific scholarships for international students are limited.",Public,19:1,,https://www.tuiasi.ro/en/
"""Carol Davila"" University of Medicine and Pharmacy (Bucharest)",Romania,"Romanian, English, French",6.5,B2,3.0,0,n,9180,9180,The university is consistently ranked as a top medical and pharmaceutical university in Romania. Overall 3/87,801-1000,"Yes, though university-specific scholarships for international students are limited.",Public,6:1,,https://umfcd.ro/en/
Iuliu Hațieganu University of Medicine and Pharmacy (Cluj-Napoca),Romania,"Romanian, English, French",6.0,B2,0,0,n,10810,10810,ranked as one of the top medical and pharmaceutical universities in Romania. Overall 8/87,1001-1200,"Yes, though university-specific scholarships for international students are limited.",Public,9:1,,https://umfcluj.ro/en/
Grigore T. Popa University of Medicine and Pharmacy (Iași),Romania,"Romanian, English, French",6.0,B2,0,0,80,3800,9180,ranked as one of the top medical and pharmaceutical universities in Romania. Overall 8/87,1639,"Yes, though university-specific scholarships for international students are limited.",Public,11:1,,https://www.umfiasi.eu/en/
Lucian Blaga University of Sibiu,Romania,"Romanian, English, German",6.0,B2,2.4,0,n,2160,6000,"ranked as one of the top universities in Romania, often placing in the top 10.",1201-1500,"Yes. The university offers the Transilvania Academica Scholarship, a fully funded program for non-EU/EEA students with exceptional academic achievements. It covers tuition, accommodation, and provides a monthly allowance. International students may also be eligible for external scholarships from the Romanian government.",Public,16.2:1,,https://www.ulbsibiu.ro/en/
University of Oradea,Romania,"Romanian, English, German, French",6.0,B2,2.8,0,65,900,6500,ranked among the top 10 universities in Romania.,1401+,"Yes, though university-specific scholarships for international students are limited.",Public,17:1,,https://uoradea.ro/
Stefan cel Mare University of Suceava,Romania,"Romanian, English, French",6.0,B2,0,0,65,2160,4500,ranked as one of the top 15 universities in Romania.,1001-1200,"Yes, though university-specific scholarships for international students are limited.",Public,21:1,,https://www.usv.ro/en/
University of Craiova,Romania,"Romanian, English, French",6.0,B2,0,0,65,2100,7020,ranked among the top 10 universities in Romania.,1401+,"Yes, though university-specific scholarships for international students are limited.",Public,20.8:1,,https://www.ucv.ro/en/
University of Agricultural Sciences and Veterinary Medicine of Cluj-Napoca,Romania,"Romanian, English, French",6.0,B2,3.6,0,n,3243,8107,ranked as a top agricultural and veterinary university in Romania.,1501+,"Yes, though university-specific scholarships for international students are limited.",Public,8.2:1,,https://www.usamvcluj.ro/en/
"""Dunărea de Jos"" University of Galați",Romania,"Romanian, English, French",6.0,B2,3.0,0,65,2160,4500,ranked as one of the top 20 universities in Romania.,1001-1200,"Yes, though university-specific scholarships for international students are limited.",Public,17:1,,https://www.ugal.ro/en/
The Polytechnic University of Timisoara,Romania,"Romanian, English, French, German",6.0,B2,0,0,60,2831,3800,"ranked as a top technical university in Romania, often placing in the top 5.",1201-1400,Yes. The university offers its own scholarships to non-EU students who have passed all their exams. International students are also eligible for external scholarships offered by the Romanian government.,Public,12:1,,https://international.upt.ro/en/
Bucharest University of Economic Studies (ASE),Romania,"Romanian, English, French, German",6.0,B2,0,0,n,3240,4320,ranked as the top economic university in Romania and one of the top 5 universities overall.,801-1000,"Yes, though university-specific scholarships for international students are limited.",Public,23:1,,https://en.ase.ro/
National School of Political and Administrative Studies (SNSPA),Romania,"Romanian, English, French",6.0,B2,0,0,80,2160,2160,ranked as a top university in Romania for political and administrative sciences.,1201-1500,"Yes, though university-specific scholarships for international students are limited.",Public,23:1,,https://snspa.ro/en/
University of Belgrade,Serbia,"Serbian, English",6.0,C1,0,0,n,3145,15700,1/17,761-770,"Yes, though university-specific scholarships for international students are limited.",Public,20:1,,https://www.bg.ac.rs/en/
University of Novi Sad,Serbia,"Serbian, English",6.0,C1,0,0,65,2000,8200,2/17,1201-1400,"Yes, though university-specific scholarships for international students are limited.",Public,10:1,,https://www.uns.ac.rs/en// 
University of Niš,Serbia,"Serbian, English",6.0,C1,0,0,65,1000,7050,ranked as one of the top 5 universities in Serbia.,1201-1400,"Yes, though university-specific scholarships for international students are limited.",Public,14:1,,https://www.ni.ac.rs/en/
University of Kragujevac,Serbia,"Serbian, English",6.0,C1,0,0,55,4750,8766,3/17,1001-1200,"Yes, though university-specific scholarships for international students are limited.",Public,12:1,,https://www.kg.ac.rs/en/
University of Arts in Belgrade,Serbia,"Serbian, English",6.0,C1,0,0,99,4721,4721,"As a specialized arts university, its national ranking is not frequently published in general university rankings. However, it is considered the top arts university in Serbia.","The University of Arts is not ranked in major global university rankings like QS or Times Higher Education, as these lists typically focus on comprehensive research universities.","Yes, though university-specific scholarships for international students are limited.",Public,11:1,,https://www.arts.bg.ac.rs/en/
University of Priština (with temporary seat in Kosovska Mitrovica),Serbia,"Serbian, English",6.0,C1,0,0,90,1000,15700,4/17,1401+,"Yes, though university-specific scholarships for international students are limited.",Public,10:1,,https://www.pr.ac.rs/en/
Singidunum University (private),Serbia,"Serbian, English",6.0,C1,0,0,90,2300,4750,5/17,not ranked,"Yes, although university-specific scholarships are limited.",Private,61:1,,https://eng.singidunum.ac.rs/
Union University (private),Serbia,"Serbian, English",6.0,C1,0,0,90,2300,4750,5/17,2697,"Yes, although university-specific scholarships are limited.",Private,61:1,,https://union.edu.rs/en/
Comenius University in Bratislava,Slovakia,"Slovak, English, French",6.5,B2,0,0,55,3250,13500,1/33,684,"Yes, although university-specific scholarships are limited.",Public,11:1,,https://uniba.sk/en/
Slovak University of Technology in Bratislava (STU),Slovakia,"Slovak, English, German",6.5,B2,0,0,80,3000,3954,2/33,1001-1200,"Yes, although university-specific scholarships are limited.",Public,10:1,,https://www.stuba.sk/english/ 
Pavol Jozef Šafárik University in Košice,Slovakia,"Slovak, English",6.0,B2,0,0,55,2160,11894,2/33,851-900,"Yes, although university-specific scholarships are limited.",Public,11:1,,https://www.upjs.sk/en/
Technical University of Košice,Slovakia,"Slovak, English, German",6.0,B2,0,0,80,5400,7600,"ranked as a top technical university in Slovakia, often placing in the top 5.",1001-1200,"Yes, although university-specific scholarships are limited.",Public,13:1,,https://www.tuke.sk/en/
Matej Bel University in Banská Bystrica,Slovakia,"Slovak, English, French",6.5,B2,0,0,n,3250,4500,ranked among the top 5 universities in Slovakia.,1501+,"Yes, although university-specific scholarships are limited.",Public,14:1,,https://www.umb.sk/en/
University of Žilina,Slovakia,"Slovak, English, German",6.0,B2,0,0,70,3800,5400,ranked as one of the top 5 universities in Slovakia,1001-1200,"Yes, although university-specific scholarships are limited.",Public,11:1,,https://www.uniza.sk/index.php/en/
Slovak University of Agriculture in Nitra,Slovakia,"Slovak, English",6.0,B2,0,0,n,760,2400,ranked among the top agricultural universities in Slovakia. Overall 12/33,1201-1400,"Yes, although university-specific scholarships are limited.",Public,11:1,,https://www.uniag.sk/en/
Constantine the Philosopher University in Nitra,Slovakia,"Slovak, English, German",6.0,B2,0,0,n,800,900,10/33,1501+,"Yes, although university-specific scholarships are limited.",Public,14:1,,https://www.ukf.sk/en/ 
University of Economics in Bratislava,Slovakia,"Slovak, English, German",6.0,B2,0,0,n,1620,2700,5/33,551-700,"Yes, although university-specific scholarships are limited.",Public,18:1,,https://euba.sk/en/
Trnava University in Trnava,Slovakia,"Slovak, English, German",6.0,B2,0,0,90,1000,1080,12/33,1501+,"Yes, although university-specific scholarships are limited.",Public,"The university has approximately 4,671 students. The student to faculty ratio is not officially published.",,https://www.truni.sk/en/ 
University of Ss. Cyril and Methodius in Trnava,Slovakia,"Slovak, English, French",6.0,B2,0,0,90,540,1300,12/33,1501+,"Yes, although university-specific scholarships are limited.",Public,11:1,,https://www.ucm.sk/en/ 
University of Barcelona,Spain,"Catalan, Spanish, English",6.0,B2,3.2,1100,69,2500,3500,ranked as one of the top 3 universities in Spain,149,"Yes, although university-specific scholarships are limited.",Public,6:1,,https://web.ub.edu/en/
Complutense University of Madrid,Spain,"Spanish, English",6.5,B2,0,0,63,1500,3500,3/89,187,"Yes, although university-specific scholarships are limited.",Public,8.6:1,,https://www.ucm.es/english/
Autonomous University of Barcelona,Spain,"Catalan, Spanish, English",6.0,B2,3.0,0,67.5,1620,5400,2/89,172,"Yes, although university-specific scholarships are limited.",Public,15:1,,https://www.uab.cat/web/
Autonomous University of Madrid,Spain,"Spanish, English",6.5,B2,0,0,25,1600,3800,5/89,198,"Yes, although university-specific scholarships are limited.",Public,11:1,,https://www.uam.es/uam/en/inicio
University of Valencia,Spain,"Catalan, Spanish, English",6.0,B2,0,0,60,800,1500,6/89,430,"Yes, although university-specific scholarships are limited.",Public,14:1,,https://www.uv.es/uvweb/university-valencia/en/university-valencia-1285846101735.html
University of Granada,Spain,"Spanish, English",6.5,B2,3.0,0,65,2500,3500,6/89,348,"Yes, although university-specific scholarships are limited.",Public,17:1,,https://www.ugr.es/en/
Polytechnic University of Catalonia (UPC),Spain,"Catalan, Spanish, English",6.0,B2,3.0,0,14,4500,10900, ranked as a top technical university in Spain. It is the best engineering university in the country according to EduRank and often ranks in the top 10 overall.,392,"Yes, although university-specific scholarships are limited.",Public,10:1,,https://www.upc.edu/en/
Polytechnic University of Valencia (UPV),Spain,"Catalan, Spanish, English",6.0,B2,0,0,80,1600,1800,ranked as one of the top 10 universities in Spain. It is often considered the best polytechnic university in the country.,422,"Yes, although university-specific scholarships are limited.",Public,14:1,,https://www.upv.es/en/
Pompeu Fabra University (Barcelona),Spain,"Catalan, Spanish, English",6.5,B2,3.0,0,50,1620,5400,ranked as one of the top 5 universities in Spain. It is often considered the best university in the country for its young age.,265,"Yes, although university-specific scholarships are limited.",Public,1.5:1,,https://www.upf.edu/en/
Charles III University of Madrid,Spain,"Spanish, English, French",6.0,B2,0,0,70,7707,8211,3/89,301,"Yes, although university-specific scholarships are limited.",Public,8.6:1,,https://www.uc3m.es/ss/Satellite/UC3MInstitucional/en/Home
University of Seville,Spain,"Spanish, English",6.5,B2,0,,45,1600,1800,9/89,469,"Yes, although university-specific scholarships are limited.",Public,17:1,,https://www.us.es/en/
University of Alicante,Spain,"Spanish, English, Catalan",6.0,B2,3.0,0,65,1000,2500,29/89,781-790,"Yes, although university-specific scholarships are limited.",Public,11:1,,https://web.ua.es/en/
University of Salamanca,Spain,"Spanish, English",6.0,B2,0,0,47,1500,2500,21/89,526,"Yes, although university-specific scholarships are limited.",Public,11:1,,https://www.usal.es/en/
University of Santiago de Compostela,Spain,"Spanish, Galician, English",6.0,B2,2.5,0,45,4000,6000,12/89,628,"Yes, although university-specific scholarships are limited.",Public,12:1,,https://www.usc.gal/en/
University of the Basque Country,Spain,"Spanish, English, Basque",6.0,B2,0,0,60,1900,5100,7/89,392,"Yes, although university-specific scholarships are limited.",Public,9:1,,https://www.ehu.eus/en/home
University of Zaragoza,Spain,"Spanish, English, Aragonese",6.5,B2,2.6,0,60,1000,3500,14/89,638,"Yes, although university-specific scholarships are limited.",Public,8:1,,https://www.unizar.es/en/
University of Malaga,Spain,"Spanish, English",6.0,B2,2.5,0,60,1500,2000,19/89,781-790,"Yes, although university-specific scholarships are limited.",Public,12:1,,https://www.uma.es/en/
Rey Juan Carlos University,Spain,"Spanish, English",6.0,B2,0,0,60,1468,2500,32/89,1001-1200,"Yes, although university-specific scholarships are limited.",Public,24:1,,https://www.urjc.es/en/
Universitat Jaume I (Castellón),Spain,"Spanish, English, Catalan",6.0,B2,3.0,0,96,1000,2500,31/89,1001-1200,"Yes, although university-specific scholarships are limited.",Public,9:1,,https://www.uji.es/en/
University of Valladolid,Spain,"Spanish, English",6.0,B2,0,0,47,1000,2500,32/89,901-950,"Yes, although university-specific scholarships are limited.",Public,10:1,,https://www.uva.es/en/
University of Murcia,Spain,"Spanish, English",6.0,B2,2.8,0,65,1000,3000,22/89,1001-1200,"Yes, although university-specific scholarships are limited.",Public,15:1,,https://www.um.es/en/
University of Córdoba,Spain,"Spanish, English",6.0,B2,0,0,60,1000,2500,24/89,601-650,"Yes, although university-specific scholarships are limited.",Public,14:1,,https://www.uco.es/en/
University of Navarra (private),Spain,"Spanish, English",6.0,B2,2.2,0,44.5,11300,16000,11/89,249,"Yes, although university-specific scholarships are limited.",Private,14:1,,https://www.unav.edu/en/
IE University (private),Spain,"Spanish, English",6.0,B2,3.2,1200,20.5,28242,33891,ranked among the top 10 universities in Spain. It is a top technical university in the country according to EduRank and often ranks in the top 10 overall.,438,"Yes, although university-specific scholarships are limited.",Private,10:1,,https://www.ie.edu/university/
ESADE Business School (private),Spain,"Spanish, English",6.5,B2,3.2,1200,40,21500,21500,ranked as a top business school in Spain. It is a top technical university in the country according to EduRank and often ranks in the top 10 overall.,436,"Yes, ESADE offers a range of scholarships, including need-based scholarships that can cover 50% to 85% of the tuition fee, and academic merit awards that can cover up to 100% of tuition for students with outstanding academic records.",Private,10:1,,https://www.esade.edu/en/
IESE Business School (private),Spain,"Spanish, English",7.0,B2,3.6,0,42.5,56160,119000,ranked as a top business school in Spain. It is a top technical university in the country according to EduRank and often ranks in the top 10 overall.,436,"Yes, ESADE offers a range of scholarships, including need-based scholarships that can cover 50% to 85% of the tuition fee, and academic merit awards that can cover up to 100% of tuition for students with outstanding academic records.",Private,12:1,,https://www.iese.edu/
Lund University,Sweden,"Swedish, English",6.5,C1,0,0,46,11500,13500,1/39,72,"Yes, Lund University offers several scholarships for international students, including the Lund University Global Scholarship, which is a merit-based award that can cover a portion or the full amount of the tuition fee. There are also scholarships from the Swedish Institute and other external organizations.",Public,10:1 or 12:1,,https://www.lunduniversity.lu.se/
Uppsala University,Sweden,"Swedish, English",6.5,C1,3.0,0,77.5,10500,12500,2/39,93,"Yes, Uppsala University offers several scholarships for international students, including the Uppsala University Global Scholarship, which is a merit-based award that can cover a portion or the full amount of the tuition fee. There are also scholarships from the Swedish Institute and other external organizations.",Public,10:1 to 11:1,,https://www.uu.se/en/
Karolinska Institutet (medical university),Sweden,"Swedish, English",6.5,C1,2.8,0,3.9,17500,20000,ranked as the top medical university in Sweden,78,"Yes, Karolinska Institutet offers a limited number of scholarships for international students, including the Karolinska Institutet Global Master's Scholarship, which covers the tuition fee. There are also scholarships from the Swedish Institute and other external organizations.",Public,5:1 or 10:1,,https://ki.se/en
KTH Royal Institute of Technology,Sweden,"Swedish, English",6.5,C1,0,0,7,12000,17000,ranked as a top technical university in Sweden. 2/39,72,"Yes, KTH offers several scholarships for international students, including the KTH Scholarship, which is a merit-based award that can cover the full tuition fee. There are also scholarships from the Swedish Institute and other external organizations.",Public,8:1 to 12:1,,https://www.kth.se/en
Stockholm University,Sweden,"Swedish, English",6.5,C1,0,0,24,11500,11500,5/39,147,"Yes, Stockholm University offers several scholarships for international students, including the Stockholm University Scholarship, which is a merit-based award that can cover the full tuition fee. There are also scholarships from the Swedish Institute and other external organizations.",Public,6:1,,https://www.su.se/english/
Chalmers University of Technology,Sweden,"Swedish, English",6.5,C1,2.8,0,7,12000,17000,9/39,139,"Yes, Chalmers offers a wide range of scholarships for international students, including the Chalmers IPOET Scholarships, which can cover 75% of the tuition fee or even the full tuition fee for students with outstanding academic records. There are also scholarships from the Swedish Institute and other external organizations.",Public,9:1,,https://www.chalmers.se/en/
University of Gothenburg,Sweden,"Swedish, English",6.5,C1,2.8,0,55,11500,13500,6/39,202,"Yes, the University of Gothenburg offers several scholarships for international students, including the Axel Adler Scholarship, which is a merit-based award that can cover a portion or the full amount of the tuition fee. There are also scholarships from the Swedish Institute and other external organizations.",Public,12:1,,https://www.gu.se/en/
Linköping University,Sweden,"Swedish, English",6.5,C1,0,0,45,7000,25000,8/39,310,"Yes, Linköping University offers a limited number of scholarships for international students, including the LiU International Scholarship, which is a merit-based award that can cover a portion or the full amount of the tuition fee. There are also scholarships from the Swedish Institute and other external organizations.",Public,7:1,,https://liu.se/en/
Umeå University,Sweden,"Swedish, English",6.5,C1,0,0,41,10000,15000,7/39,401,"Yes, Umeå University offers a limited number of scholarships for international students, including the Umeå University Scholarship, which is a merit-based award that can cover a portion or the full amount of the tuition fee. There are also scholarships from the Swedish Institute and other external organizations",Public,15:1.,,https://www.umu.se/en/
Swedish University of Agricultural Sciences (SLU),Sweden,"Swedish, English",6.5,C1,2.8,0,n,11310,32400,10/39,351-400,"Yes, the university offers a limited number of scholarships for international students. Students may also be eligible for external scholarships offered by the Swedish Institute and other external organizations.",Public,1.3:1,,https://www.slu.se/en/
Luleå University of Technology,Sweden,"Swedish, English",6.5,C1,2.7,0,41,6700,9600,13/39,438,"Yes, Luleå University of Technology offers a limited number of scholarships for international students. Students may also be eligible for external scholarships offered by the Swedish Institute and other external organizations. The university also offers a scholarship that covers the tuition fee for students in the Bachelor Programme in Mineral Resource Engineering.",Public,9:1,,https://www.ltu.se/en
Örebro University,Sweden,"Swedish, English",6.5,C1,3.0,0,28,11000,12000,12/39,501-600,"Yes, Örebro University offers a limited number of scholarships for international students, including the Örebro University Scholarship, which is a merit-based award that can cover a portion or the full amount of the tuition fee. There are also scholarships from the Swedish Institute and other external organizations.",Public,23:1,,https://www.oru.se/english/
Karlstad University,Sweden,"Swedish, English",6.5,C1,2.7,0,28,6700,9600,16/39,501-600,"Yes, Karlstad University offers a limited number of scholarships for international students, including the Karlstad University Global Scholarship, which is a merit-based award that can cover a portion or the full amount of the tuition fee. There are also scholarships from the Swedish Institute and other external organizations.",Public,13:1,,https://www.kau.se/en/
Malmö University,Sweden,"Swedish, English",6.5,C1,0,0,28,7400,16500,15/39,438,"Yes, Malmö University offers a limited number of scholarships for international students, including the Malmö University Master's Scholarship, which is a merit-based award that can cover a portion or the full amount of the tuition fee. There are also scholarships from the Swedish Institute and other external organizations.",Public,14:1,,https://mau.se/en/
Linnaeus University,Sweden,"Swedish, English",6.5,C1,0,0,n,6700,15000,14/39,301-400,"Yes, Linnaeus University offers a limited number of scholarships for international students, including the Linnaeus University Scholarship, which is a merit-based award that can cover a portion or the full amount of the tuition fee. There are also scholarships from the Swedish Institute and other external organizations.",Public,19:1,,https://lnu.se/en/
ETH Zurich (Swiss Federal Institute of Technology Zurich),Switzerland,German,0,C1,3.5,0,27,2450,2450,1/12,7,"Yes, ETH Zurich offers several scholarships for international students, including the Excellence Scholarship & Opportunity Programme (ESOP), a merit-based award that can cover a portion or the full amount of the tuition fee. There are also scholarships from the Swiss government and other external organizations.",Public,10:1,,https://ethz.ch/en.html
EPFL (Swiss Federal Institute of Technology Lausanne),Switzerland,French,0,B2,3.5,0,23,2450,2450,2/12,22,"Yes, EPFL offers several scholarships for international students, including the Excellence Fellowship, a merit-based award that can cover a portion or the full amount of the tuition fee. There are also scholarships from the Swiss government and other external organizations.",Public,10:1,,https://www.epfl.ch/en/
University of Zurich,Switzerland,German,0,C1,3.2,0,22.5,2450,2450,3/12,91,"Yes, the university offers a limited number of scholarships for international students, including the Excellence Scholarship & Opportunity Programme (ESOP), a merit-based award that can cover a portion or the full amount of the tuition fee. There are also scholarships from the Swiss government and other external organizations.",Public,3:1,,https://www.uzh.ch/en.html
University of Geneva,Switzerland,French,0,C1,3.0,0,22.5,2450,2450,5/12,155,"Yes, the university offers a limited number of scholarships for international students. Students may also be eligible for scholarships offered by the Swiss government and other external organizations.",Public,4:1,,https://www.unige.ch/en/
University of Bern,Switzerland,German,0,C1,3.2,0,58,2450,2450,6/12,135,"Yes, the university offers a limited number of scholarships for international students. Students may also be eligible for scholarships offered by the Swiss government and other external organizations.",Public,10:1 to 16:1,,https://www.unibe.ch/en/
University of Lausanne,Switzerland,French,0,B2,2.0,0,25,2450,2450,5/12,212,"Yes, the university offers a limited number of scholarships for international students, including the UNIL Master's Grants, a merit-based award that can cover a portion or the full amount of the tuition fee. There are also scholarships from the Swiss government and other external organizations.",Public,4:1,,https://www.unil.ch/en/
University of Basel,Switzerland,German,0,C1,3.0,0,22,1700,1700,4/12,158,"Yes, the university offers a limited number of scholarships for international students. Students may also be eligible for external scholarships offered by the Swiss government and other external organizations.",Public,10:1,,https://www.unibas.ch/en.html
