University Name,Country,Language of teaching,"Minimum IELTS score
(or average)","Minimum GPA 
(or average)","Minimum SAT score
(or average)",Acceptance rate (%),"Cost per year 
for interational students","Cost per year 
for local students","National ranking","Global ranking",Scholarship (yes/no),"Public/Private","Student to faculty ratio",Link to official website
Warsaw School of Economics (SGH),Poland,Polish and English,The university generally requires an IELTS score of 6.0 for most master's programs and a TOEFL iBT score of at least 72 for bachelor's programs. A B2 level of English proficiency is the minimum requirement.,"The university does not specify a minimum GPA for admission. It evaluates candidates based on their complete academic record, with an emphasis on grades in subjects relevant to their chosen field of study.","GMAT, GRE, and SAT scores are not a standard requirement. Admission is primarily based on academic qualifications and, for some programs, an entrance exam.",25%,"annual tuition fees for non-EU/EEA students are generally $5,250 USD to $6,500 USD. A one-time application fee of PLN 85 or PLN 100 is also required.",No tuition fee for full-time students in Polish-taught programs.,"top economic university in Poland. In national rankings, it often places among the top 15 universities overall.",#51-60 in Business Analytics and #67 in Finance.,"Yes, but scholarships for international students are limited.",Public,"The university has over 820 academic staff, though an exact student-to-faculty ratio is not publicly available.",https://www.sgh.waw.pl/en 
Poznan University of Medical Sciences,Poland,Polish and English,"The university requires a B2 level of English proficiency, which is generally met with an IELTS Academic score of 6.5 or higher. Other accepted certificates include TOEFL (iBT 94).","The university does not specify a minimum GPA, but applicants are evaluated on their academic performance in biology, chemistry, and physics/mathematics, which is verified during a required entrance exam.","GMAT, GRE, and SAT scores are not a standard requirement. Instead, applicants must either take the university's entrance exam or submit scores from internationally recognized exams like MCAT, UCAT, or GAMSAT.","Some sources suggest an acceptance rate of around 26% for medicine, making it highly competitive.","the tuition fee for the 6-year Doctor of Medicine program is $19,050 USD for the first two years, and $20,950 USD for years 3 through 6. The 5-year Dentistry program is $20,400 USD for the first two years and $20,700 USD for years 3 through 5.","Tuition is free for full-time students in Polish-taught programs. However, EU/EEA students in English-taught programs are subject to the same fees as other international students.","ranked among the top medical universities in Poland, with a national rank of 16/450+",1200,"Yes, but scholarships are very limited for international students.",Public,The student-to-faculty ratio is not explicitly published.,https://pums.ump.edu.pl/ 
University of Warmia and Mazury in Olsztyn,Poland,Polish and English,The university requires a B2 level of English proficiency. This is generally met with an IELTS score of 6.0 or higher or a TOEFL iBT score of 87.,"The university does not have a specific minimum GPA requirement. Admission is based on a review of the applicant's complete academic record, with an emphasis on grades in subjects relevant to the chosen field of study.","GMAT, GRE, and SAT scores are not a standard requirement for most programs. Admission is primarily based on academic qualifications and a compulsory online entrance exam for specific fields.",A specific acceptance rate is not publicly available. Admissions are considered to be moderately competitive.,"annual tuition fees for non-EU/EEA students vary widely. For most programs, the cost can range from $1,350 to $5,500 USD. However, specialized programs like Veterinary Medicine can cost around $12,000 USD per year. A one-time application fee of PLN 85 is also required.",No tuition fee for full-time students in Polish-taught programs.,ranked as one of the top 25 universities in Poland.,1001-1200,"Yes, but university-specific scholarships for international students are limited.",Public,The student-to-faculty ratio is not explicitly published.,https://uwm.edu.pl/en 
Maria Curie-Skłodowska University (Lublin),Poland,Polish and English,"The university requires a B2 level of English proficiency, which is generally met with a TOEFL iBT score of 87 or higher. While a specific IELTS score isn't universally published, a B2 level is typically equivalent to an IELTS score of 5.5-6.5.","The university does not have a specific minimum GPA requirement. Admission is based on a review of the applicant's complete academic record, with an emphasis on grades in subjects relevant to their chosen field of study.","GMAT, GRE, and SAT scores are not a standard requirement for most programs. Admission is primarily based on previous academic qualifications.","A specific acceptance rate is not publicly available, but the university is moderately selective.","annual tuition fees for non-EU/EEA students vary. Bachelor's programs can range from $2,500 to $5,000 USD per year, while Master's programs can be from $2,000 to $4,700 USD annually. A one-time application fee of €200 is also required.",No tuition fee for full-time students ,ranked as one of the top 15 universities in Poland.,1001-1200,"Yes, although university-specific scholarships for international students are limited. ",Public,The student-to-faculty ratio is not explicitly published.,https://www.umcs.pl/en/
Wrocław Medical University,Poland,Polish and English,"The university requires a B2 level of English proficiency, which is generally met with an IELTS Academic score of 6.5 or higher. Other accepted certificates include TOEFL (iBT 87).","The university does not specify a minimum GPA, but applicants are evaluated based on their grades in biology, chemistry, and physics or mathematics, which are crucial for admission.","GMAT, GRE, and SAT scores are not a standard requirement. Instead, applicants must pass the university's entrance exam in biology and chemistry.","A specific acceptance rate is not publicly available, but admissions are highly competitive for medical and dental programs.","tuition for the 6-year Medicine program is approximately $15,700 USD per year. The Dentistry program is approximately $18,000 USD per year.",Tuition is free for full-time students in Polish-taught programs.,"ranked among the top medical universities in Poland, with a national ranking of 8/450+",501-600,"Yes, but scholarships for international students are limited.",Public,11:1,https://www.umw.edu.pl/en 
University of Life Sciences in Poznań,Poland,Polish and English,"The university requires a B2 level of English proficiency, which is generally met with an IELTS score of 5.5-6.5 or a TOEFL iBT score of 87. Some programs may have specific requirements.","The university does not have a specific minimum GPA requirement. Admission is based on a review of the applicant's complete academic record, with an emphasis on grades in subjects relevant to the chosen field of study.","GMAT, GRE, and SAT scores are not a standard requirement for most programs. Admission is based on previous academic qualifications.",The university's acceptance rate is not publicly available. Some sources suggest a general acceptance rate of 60%,"tuition fees for non-EU/EEA students vary by program. Fees for most bachelor's and master's programs can range from $3,000 to $4,000 USD per year. The Veterinary Medicine program is more expensive, with an annual cost of around $9,000 to $10,000 USD.",No tuition fee for full-time students in Polish-taught programs.,ranked among the top universities of life and biological sciences in Poland.,1201-1500,"Yes, but university-specific scholarships for international students are limited.",Public,6:1,https://puls.edu.pl/en/
Warsaw University of Life Sciences (SGGW),Poland,Polish and English,"The university requires a B2 level of English proficiency, which is met with an IELTS score of 6.0 or higher or a TOEFL iBT score of 72.","The university does not have a specific minimum GPA requirement. Admission is based on a review of the applicant's complete academic record, with an emphasis on grades in subjects relevant to the chosen field of study.","GMAT, GRE, and SAT scores are not a standard requirement for most programs. Admission is based on academic qualifications and an entrance exam in specific cases.","A specific acceptance rate is not publicly available, but admissions are generally considered to be competitive. The university offers a wide range of programs, with some being more selective than others.","tuition fees for non-EU/EEA students vary by program. Annual costs can range from $3,600 to $5,000 USD for bachelor's and master's programs. Specialized programs, such as Civil Engineering, may have a higher cost. A one-time recruitment fee is also required.",No tuition fee for full-time students in Polish-taught programs.,ranked as a top agricultural and life sciences university in Poland. Overall 22/450+,Rankings by Subject 2024: #41 in Agriculture & Forestry and #51-70 in Veterinary Sciences. Overall 1201-1500,"Yes, although university-specific scholarships for international students are limited. ",Public,13.7:1,https://www.sggw.edu.pl/en
University of Bucharest,Romania,"Romanian, English, and French","The university requires a B2 level of English proficiency, which is generally equivalent to an IELTS score of 5.5-6.5. Some faculties may require a higher level. Other accepted certificates include TOEFL and Cambridge exams.","The university does not have a specific minimum GPA requirement. Admission is based on a review of academic records, with an emphasis on grades in subjects relevant to the chosen field of study.","GMAT, GRE, and SAT scores are not a standard requirement. Admission is primarily based on academic qualifications. For some programs, applicants must pass an entrance exam.","A specific acceptance rate is not publicly available, but the university is considered moderately selective. Admission can be competitive for popular programs.","tuition fees for non-EU/EEA students vary significantly by program. Annual costs range from $2,100 to $4,500 USD for most programs. A one-time application fee of €100 is also required.",No tuition fee for full-time students in Romanian-taught programs,"ranked as one of the top universities in Romania, often placing in the top 5.",1201-1400,"Yes, though university-specific scholarships for international students are limited. ",Public,24:1,https://unibuc.ro/en// 
Babeș-Bolyai University (Cluj-Napoca),Romania,"Romanian, English, German, French, and Hungarian","The university generally requires an IELTS score of 6.5 or higher for graduate programs. For undergraduate programs, a B2 level of English proficiency is required, which is typically equivalent to an IELTS score of 5.5-6.5.","The university does not specify a minimum GPA requirement. Admission is based on a review of the applicant's academic record, with an emphasis on grades in subjects relevant to the chosen field of study.","GMAT, GRE, and SAT scores are not a standard requirement. Admission is based on previous academic qualifications and an entrance exam or interview for some programs.","A specific acceptance rate is not publicly available, but the university is moderately selective. Admission can be competitive for popular programs.","annual tuition fees for non-EU/EEA students vary significantly by program. Annual costs range from $2,300 to $4,500 USD for most programs. A one-time application fee of €50 is also required.",No tuition fee for full-time students in Romanian-taught programs.,1/87,801-850,"Yes, although university-specific scholarships for international students are limited. ",Public,25:1,https://www.ubbcluj.ro/en/
Alexandru Ioan Cuza University (Iași),Romania,"Romanian, English, and French","The university generally requires a B2 level of English proficiency, which is equivalent to an IELTS score of 5.5-6.5. Some programs or faculties may require a higher score.","The university does not have a specific minimum GPA requirement. Admission is based on a review of the applicant's academic record, with an emphasis on grades in subjects relevant to the chosen field of study.","GMAT, GRE, and SAT scores are not a standard requirement for most programs. Admission is based on academic qualifications and an entrance exam or interview for some programs.","The acceptance rate is not publicly available, but a reputable source states that it's an averagely selective institution with an acceptance rate of 60-70%","tuition fees for non-EU/EEA students vary significantly by program. Annual costs range from $2,100 to $4,500 USD for most programs. Some sources state that fees for specific Romanian-taught programs can be as low as $490 USD per year for international students.",No tuition fee for full-time students in Romanian-taught programs.,"ranked as one of the top universities in Romania, often placing in the top 5.",1001-1200,"Yes, although university-specific scholarships for international students are limited. ",Public,14:1,https://www.uaic.ro/en/ 
National University of Science and Technology POLITEHNICA Bucharest (formerly University Politehnica of Bucharest),Romania,"Romanian, English, French, and German","The university generally requires a B2 level of English proficiency, which is typically met with an IELTS Academic score of 6.5 or higher. Other accepted tests include TOEFL and Cambridge exams.","The university does not have a specific minimum GPA requirement. Admission is based on a review of the applicant's academic record, with an emphasis on grades in subjects relevant to their chosen field of study","GMAT, GRE, and SAT scores are not a standard requirement. Admission is based on previous academic qualifications and an entrance exam or interview for some programs.","The university's acceptance rate is not officially published, but it's a very selective institution. Some sources suggest an acceptance rate of around 80%, while others suggest it's more competitive for certain programs.","annual tuition fees for non-EU/EEA students are generally between $2,600 and $3,800 USD. A one-time application fee of €100 and a foreign language test fee of €270 are also required.",No tuition fee for full-time students in Romanian-taught programs.,ranked as the top technical university in Romania.,1201-1400,"Yes, although university-specific scholarships for international students are limited. ",Public,22:1,https://www.upb.ro/en/
West University of Timișoara,Romania,"Romanian, English, French, and German","The university generally requires a B2 level of English proficiency, which is typically met with an IELTS Academic score of 6.0 or higher. The university may also accept a TOEFL score of 60 or higher or a language proficiency test from their own Interlingua Center.","The university does not have a specific minimum GPA requirement. Admission is based on a review of the applicant's complete academic record and, for some programs, a portfolio or interview.","GMAT, GRE, and SAT scores are not a standard requirement for admission.","A specific acceptance rate is not publicly available, but the university is moderately selective. The number of available spots is published for each faculty and can indicate the competitiveness of a program.","annual tuition fees for non-EU/EEA students vary significantly by program. Annual costs range from $918 to $2,306 USD for most programs. A one-time application fee of €100 is also required.",No tuition fee for full-time students in Romanian-taught programs.,"ranked as one of the top universities in Romania, often placing in the top 5.",1201-1400,"Yes, although university-specific scholarships for international students are limited. ",Public,24:1,https://www.uvt.ro/en/
Transilvania University of Brașov,Romania,"Romanian, English, and German","The university requires a B2 level of English proficiency, which is generally met with an IELTS Academic score of 6.5 or higher or a TOEFL iBT score of 80. Applicants who have studied in English for at least four years may be exempt.","The university does not have a specific minimum GPA requirement. Admission is based on a review of the applicant's complete academic record and a written essay. For certain faculties like Medicine or Music, a competitive entrance exam is required.","GMAT, GRE, and SAT scores are not a standard requirement for most programs.","The university is not very selective, with an acceptance rate that varies from 80% to 90% depending on the chosen program.","annual tuition fees for non-EU/EEA students vary by program. Most programs range from $2,160 to $3,240 USD. However, Medicine is more expensive, at around $5,940 USD per year. A one-time application fee of €40 is also required.",No tuition fee for full-time students in Romanian-taught programs.,ranked as one of the top 10 universities in Romania.,1372,"Yes. The university offers the Transilvania Academica Scholarship, a fully funded program for non-EU/EEA students with exceptional academic achievements. It covers tuition, accommodation, and provides a monthly allowance.",Public,20:1,https://www.unitbv.ro/en/
Technical University of Cluj-Napoca,Romania,"Romanian, English, French, and German","The university generally requires a B2 level of English proficiency, which is typically met with an IELTS Academic score of 6.0 or higher. Other accepted tests include TOEFL and Cambridge exams.","The university does not specify a minimum GPA requirement. Admission is based on a review of the applicant's academic record, with a focus on grades in subjects relevant to the chosen field of study. Some sources mention a minimum percentage requirement of 55% for admission.","GMAT, GRE, and SAT scores are not a standard requirement for most programs. Admission is based on previous academic qualifications.","A specific acceptance rate is not publicly available, but the university is a selective institution. The competitiveness of admission can vary significantly by program, with a higher number of applicants for popular technical fields.","annual tuition fees for non-EU/EEA students vary by program. Fees for bachelor's and master's programs can range from $2,300 to $4,500 USD per year. A one-time application fee of €100 is also required.",No tuition fee for full-time students in Romanian-taught programs.," ranked as a top technical university in Romania, often placing in the top 10 nationally.",1201-1400,"Yes, though university-specific scholarships for international students are limited.",Public,21:1,https://www.utcluj.ro/en/
"""Gheorghe Asachi"" Technical University of Iași",Romania,"Romanian, English, German, and French","The university generally requires a B2 level of English proficiency, which is typically met with an IELTS Academic score of 5.5-6.5. Other accepted tests include TOEFL and Cambridge exams.","The university does not have a specific minimum GPA requirement. Admission is based on a review of the applicant's complete academic record, with an emphasis on grades in subjects relevant to the chosen field of study.","GMAT, GRE, and SAT scores are not a standard requirement for most programs. Admission is primarily based on previous academic qualifications.","A specific acceptance rate is not publicly available, but admissions can be competitive for certain programs.","annual tuition fees for non-EU/EEA students vary by program. Fees for bachelor's and master's programs can range from $2,838 to $4,087 USD per year. A one-time application fee of €80 is also required.",No tuition fee for full-time students in Romanian-taught programs.,The university is consistently ranked as a top technical university in Romania.,1201-1400,"Yes, though university-specific scholarships for international students are limited.",Public,19:1,https://www.tuiasi.ro/en/
"""Carol Davila"" University of Medicine and Pharmacy (Bucharest)",Romania,"Romanian, English, and French","The university requires a B2 level of English proficiency. This is generally met with an IELTS Academic score of 6.5 or higher or a TOEFL iBT score of 87. Alternatively, a high school diploma from a school where English was the medium of instruction is accepted."," The university does not have a specific minimum GPA, but applicants are evaluated based on their high school grades in biology, chemistry, and physics or mathematics. For medicine, a minimum of 75% in biology and chemistry from the final three years of high school is required.","GMAT, GRE, and SAT scores are not a standard requirement. Instead, admission is based on a review of previous academic qualifications, a required online entrance exam, and an interview to assess English language proficiency and scientific knowledge.","A specific acceptance rate is not publicly available, but admissions are highly competitive. Sources state the university has a limited number of seats (e.g., 360 for first-year medicine students) and a high number of applicants.","tuition fees for non-EU/EEA students are approximately $9,180 USD (€8,500) per year for medicine and dentistry. A one-time application fee is also required.",No tuition fee for full-time students in Romanian-taught programs.,The university is consistently ranked as a top medical and pharmaceutical university in Romania. Overall 3/87,801-1000,"Yes, though university-specific scholarships for international students are limited.",Public,6:1,https://umfcd.ro/en/
Iuliu Hațieganu University of Medicine and Pharmacy (Cluj-Napoca),Romania,"Romanian, English, and French","The university requires a B2 level of English proficiency, generally met with an IELTS Academic score of 6.5 or higher or a TOEFL iBT score of 87. Alternatively, applicants can take a university-administered English proficiency exam.","The university does not have a specific minimum GPA, but a strong academic record is essential. Admission is based on grades in biology, chemistry, and physics or mathematics, with an emphasis on high school grades in biology and chemistry.","GMAT, GRE, and SAT scores are not a standard requirement. Admission is based on a review of previous academic qualifications and a compulsory entrance exam in biology and chemistry.","A specific acceptance rate is not publicly available, but admission is highly competitive. For the 6-year Medicine program, for example, the number of seats for non-EU students is limited, making it a very selective program.","the tuition fee for the Medicine and Dental Medicine programs is €10,000 per year, which is approximately $10,810 USD. Pharmacy is €6,000 per year (approx. $6,486 USD). A one-time application fee is also required.",No tuition fee for full-time students in Romanian-taught programs.,ranked as one of the top medical and pharmaceutical universities in Romania. Overall 8/87,1001-1200,"Yes, though university-specific scholarships for international students are limited.",Public,9:1,https://umfcluj.ro/en/
Grigore T. Popa University of Medicine and Pharmacy (Iași),Romania,"Romanian, English, and French","For English-taught programs, a B2 level of proficiency is required, which is met with an IELTS score of 6.0-6.5 or higher. The university also accepts a TOEFL iBT score of 80. Applicants who have completed at least four consecutive years of study in English may be exempt from this requirement.","The university does not specify a minimum GPA, but admissions are highly competitive. Applicants are evaluated based on their high school academic performance, particularly grades in biology, chemistry, and physics or mathematics.","GMAT, GRE, and SAT scores are not a standard requirement. Admission for international students is based on a file-based competition that assesses school performance and personal achievements. An entrance exam is not required for admission to English-taught programs.","A specific acceptance rate is not publicly available, but a reputable source suggests a rate of 80%. However, given the limited number of seats (e.g., 200 for Medicine in English), admission is highly competitive."," tuition fees for non-EU/EEA students are approximately $9,180 USD (€8,500) per year for Medicine and Dentistry. The Pharmacy program costs around $8,100 USD (€7,500) annually, and Physiotherapy is about $3,800 USD (€3,500) per year.",No tuition fee for full-time students in Romanian-taught programs.,ranked as one of the top medical and pharmaceutical universities in Romania. Overall 8/87,1639,"Yes, though university-specific scholarships for international students are limited.",Public,11:1,https://www.umfiasi.eu/en/
Lucian Blaga University of Sibiu,Romania,"Romanian, English, and German","The university generally requires a B2 level of English proficiency, which is equivalent to an IELTS score of 5.5-6.5. For medicine, a specific English proficiency test is required if a student does not have a proof of B2 level.","The university does not have a specific minimum GPA. However, for medicine, applicants are evaluated based on their grades in biology, chemistry, and physics or mathematics, with a minimum requirement of 60% in biology and chemistry combined.","GMAT, GRE, and SAT scores are not a standard requirement. Admission is primarily based on academic qualifications and an entrance exam for specific faculties like Medicine.","A specific acceptance rate is not publicly available, but a reputable source states that it is an averagely selective institution. However, some programs like Medicine have a very limited number of seats, making them highly competitive."," tuition fees for non-EU/EEA students vary significantly by program. Annual costs for most programs range from $2,160 to $3,240 USD. The Medicine program is more expensive, at $6,486 USD (€6,000) per year.",No tuition fee for full-time students in Romanian-taught programs.,"ranked as one of the top universities in Romania, often placing in the top 10.",1201-1500,"Yes. The university offers the Transilvania Academica Scholarship, a fully funded program for non-EU/EEA students with exceptional academic achievements. It covers tuition, accommodation, and provides a monthly allowance. International students may also be eligible for external scholarships from the Romanian government.",Public,16.2:1,https://www.ulbsibiu.ro/en/
University of Oradea,Romania,"Romanian, English, German, and French","The university requires a B2 level of English proficiency, which is equivalent to an IELTS score of 5.5-6.5. Applicants from countries where English is the official language or who have studied in English may be exempt.","The university does not have a specific minimum GPA. However, for medicine and dentistry, a minimum average of 7.0 (on a 10.0 scale) is required. For other faculties, admission is based on the results of previous academic studies.","GMAT, GRE, and SAT scores are not a standard requirement. Admission is based on academic qualifications. For some programs, an entrance exam is required.","The university's acceptance rate is not publicly available, but a reputable source states that it is an averagely selective institution with an acceptance rate of 60-70%. However, admission to the Faculty of Medicine and Pharmacy is very competitive.","annual tuition fees for non-EU/EEA students vary significantly by program. Annual costs range from $900 to $5,000 USD for most programs. The Medicine program is more expensive, at $6,500 USD per year. A one-time application fee is also required.",No tuition fee for full-time students in Romanian-taught programs.,ranked among the top 10 universities in Romania.,1401+,"Yes, though university-specific scholarships for international students are limited.",Public,17:1,https://uoradea.ro/
Stefan cel Mare University of Suceava,Romania,"Romanian, English, and French",The university generally requires a B2 level of English proficiency for its programs. This is typically met with an IELTS score of 5.5-6.5.,"The university does not have a specific minimum GPA requirement. Admission is based on a review of the applicant's complete academic record, with an emphasis on grades in subjects relevant to their chosen field of study.","GMAT, GRE, and SAT scores are not a standard requirement. Admission is primarily based on academic qualifications and an entrance exam or interview for some programs.","The university's acceptance rate is not publicly available, but a reputable source states that it is an averagely selective institution with an acceptance rate of 60-70%.","annual tuition fees for non-EU/EEA students vary significantly by program. Annual costs can range from $2,160 to $4,500 USD for most programs. A one-time application fee is also required.",No tuition fee for full-time students in Romanian-taught programs.,ranked as one of the top 15 universities in Romania.,1001-1200,"Yes, though university-specific scholarships for international students are limited.",Public,21:1,https://www.usv.ro/en/
University of Craiova,Romania,"Romanian, English, and French","The university generally requires a B2 level of English proficiency, which is typically met with an IELTS score of 5.5-6.5. Some faculties, particularly in medicine, may have specific requirements. A university-administered language test may also be an option.","The university does not have a specific minimum GPA requirement. Admission is based on a review of the applicant's complete academic record, with an emphasis on grades in subjects relevant to the chosen field of study.","GMAT, GRE, and SAT scores are not a standard requirement. Admission is based on previous academic qualifications and, in some cases, an entrance exam.","The acceptance rate is not publicly available, but a reputable source states that it is an averagely selective institution with an acceptance rate of 60-70%. Admission to the Faculty of Medicine can be highly competitive.","annual tuition fees for non-EU/EEA students vary significantly by program. Annual costs can range from $2,100 to $4,500 USD. For the English-taught Dental Medicine program, the fee is $7,020 USD (€6,500) per year. A one-time application fee is also required.",No tuition fee for full-time students in Romanian-taught programs.,ranked among the top 10 universities in Romania.,1401+,"Yes, though university-specific scholarships for international students are limited.",Public,20.8:1,https://www.ucv.ro/en/
University of Agricultural Sciences and Veterinary Medicine of Cluj-Napoca,Romania,"Romanian, English, and French","The university generally requires a B2 level of English proficiency, which is typically met with an IELTS score of 5.5-6.5. However, some sources suggest that a specific English certificate or a separate English test is not required for admission to veterinary medicine in English.","The university does not have a specific minimum GPA requirement. Admission is based on a review of the applicant's complete academic record, with an emphasis on the baccalaureate average. For veterinary medicine, the baccalaureate average or its equivalent makes up 90% of the admission criteria.","GMAT, GRE, and SAT scores are not a standard requirement. Admission is based on previous academic qualifications.","A specific acceptance rate is not publicly available, but a reputable source states that it is a highly selective institution. The number of spots for the veterinary medicine program in English is limited to just 45 for non-EU students, making admission very competitive.","the tuition fee for the veterinary medicine program in English is €7,500 per year, which is approximately $8,107 USD. For other technical and agronomic programs, the fee is approximately $3,243 USD (€3,000) per year.",No tuition fee for full-time students in Romanian-taught programs.,ranked as a top agricultural and veterinary university in Romania.,1501+,"Yes, though university-specific scholarships for international students are limited.",Public,8.2:1,https://www.usamvcluj.ro/en/
"""Dunărea de Jos"" University of Galați",Romania,"Romanian, English, and French","The university generally requires a B2 level of English proficiency, which is equivalent to an IELTS score of 5.5-6.5. Some faculties, particularly Medicine, may have specific requirements or an additional English test.","The university does not have a specific minimum GPA. However, for medicine and dentistry, a minimum of 75% in high school biology and chemistry is required.","GMAT, GRE, and SAT scores are not a standard requirement. Admission is primarily based on academic qualifications. For some faculties, such as Medicine, a competitive entrance exam may be required.","A specific acceptance rate is not publicly available, but a reputable source states that it is an averagely selective institution with an acceptance rate of 60-70%. Admission to the Faculty of Medicine is very competitive due to a limited number of seats.","annual tuition fees for non-EU/EEA students vary significantly by program. Annual costs range from $2,160 to $4,500 USD. The Medicine program is more expensive, with an annual cost of $9,700 USD (€9,000) for the first year and $9,180 USD (€8,500) for subsequent years.",No tuition fee for full-time students in Romanian-taught programs.,ranked as one of the top 20 universities in Romania.,1001-1200,"Yes, though university-specific scholarships for international students are limited.",Public,17:1,https://www.ugal.ro/en/
The Polytechnic University of Timisoara,Romania,"Romanian, English, French, and German","The university generally requires a B2 level of English proficiency, which is typically met with an IELTS Academic score of 6.0 or higher. The university also has its own English proficiency test that students can take.","The university does not have a specific minimum GPA requirement, but it is a selective institution. Admission is based on a review of the applicant's complete academic record, with an emphasis on grades in subjects relevant to their chosen field of study.","GMAT, GRE, and SAT scores are not a standard requirement for most programs. Admission is based on academic qualifications.","A specific acceptance rate is not publicly available, but a reputable source states an estimated acceptance rate of around 60%. Admission can be very competitive for popular technical fields like computer science.","annual tuition fees for non-EU/EEA students vary by program. Fees for most bachelor's and master's programs can range from $2,831 to $3,800 USD per year. A one-time application fee of €100 is also required.",No tuition fee for full-time students in Romanian-taught programs.,"ranked as a top technical university in Romania, often placing in the top 5.",1201-1400,Yes. The university offers its own scholarships to non-EU students who have passed all their exams. International students are also eligible for external scholarships offered by the Romanian government.,Public,12:1,https://international.upt.ro/en/
Bucharest University of Economic Studies (ASE),Romania,"Romanian, English, French, and German","The university generally requires a B2 level of English proficiency, which is met with an IELTS Academic score of 5.5-6.5. Some programs may require a higher score. Students who have completed their high school studies in English may be exempt.","The university does not specify a minimum GPA requirement. Admission is based on a review of the applicant's complete academic record and a required entrance exam for specific programs, such as Economic Cybernetics and Law.","GMAT, GRE, and SAT scores are not a standard requirement. Admission is primarily based on academic qualifications and, for some programs, an entrance exam.","A specific acceptance rate is not publicly available, but the university is a selective institution. The number of international students is limited, making it competitive.","annual tuition fees for non-EU/EEA students range from $3,240 to $4,320 USD (€3,000 to €4,000) for most bachelor's and master's programs. A one-time application fee of €300 or €400 is also required.",No tuition fee for full-time students in Romanian-taught programs.,ranked as the top economic university in Romania and one of the top 5 universities overall.,801-1000,"Yes, though university-specific scholarships for international students are limited.",Public,23:1,https://en.ase.ro/
National School of Political and Administrative Studies (SNSPA),Romania,"Romanian, English, and French","The university generally requires a B2 level of English proficiency, which is equivalent to an IELTS score of 5.5-6.5. Some programs may require a higher level of proficiency, which can be demonstrated through an English language proficiency test.","The university does not have a specific minimum GPA requirement. Admission is based on the applicant's complete academic record and, for some programs, a portfolio or entrance exam.","GMAT, GRE, and SAT scores are not a standard requirement. Admission is primarily based on previous academic qualifications.","A specific acceptance rate is not publicly available, but a reputable source states a rate of 80%. However, admission can be competitive due to a limited number of spots for certain programs.","tuition fees for non-EU/EEA students are approximately $2,160 USD (€2,000) per year for most bachelor's and master's programs. A one-time application fee is also required.",No tuition fee for full-time students in Romanian-taught programs.,ranked as a top university in Romania for political and administrative sciences.,1201-1500,"Yes, though university-specific scholarships for international students are limited.",Public,23:1,https://snspa.ro/en/
University of Belgrade,Serbia,Serbian and English,"The university generally requires a B2 level of English proficiency, which is met with an IELTS Academic score of 6.0-6.5 or higher. For some programs, a university-administered language test or a certificate proving previous studies in English may also be accepted.","The university does not have a specific minimum GPA. However, admission to the Faculty of Medicine is based on a scoring system that gives 40% weight to the high school GPA. The remaining 60% is based on the results of the entrance exam.","GMAT, GRE, and SAT scores are not a standard requirement. Instead, many faculties require a compulsory entrance exam, which can be very competitive.","A specific acceptance rate is not publicly available, but a reputable source states a rate of 99% for medicine. However, with limited spots for non-EU students, admission is considered highly competitive, especially for popular fields like medicine and dentistry.","annual tuition fees for non-EU/EEA students vary significantly by program. For the Faculty of Medicine, tuition is approximately $15,700 USD (€14,500) per year. For programs like Business and Economics, the annual cost is around $3,145 USD.",Fees for Serbian and EU students are generally much lower than for non-EU students and can vary by program and academic performance.,1/17,761-770,"Yes, though university-specific scholarships for international students are limited.",Public,20:1,https://www.bg.ac.rs/en/
University of Novi Sad,Serbia,Serbian and English,"The university requires a B2 level of English proficiency, which is generally met with an IELTS Academic score of 6.0-6.5 or higher. For certain programs, like medicine, you may need to present an English-proficiency certificate or be tested through a university interview.","The university does not have a specific minimum GPA requirement. Admission is determined by a combination of high school academic records and entrance exam scores. For medicine, your high school GPA accounts for 40% of the final score.","GMAT, GRE, and SAT scores are not a standard requirement. Instead, many faculties, especially medicine, require a compulsory entrance exam in subjects like biology and chemistry.","A specific acceptance rate is not publicly available, but a reputable source states a rate of 65% for medicine, making it moderately competitive. For popular programs, the number of seats for international students is limited, which increases the competitiveness of admission.","tuition fees for non-EU/EEA students vary significantly by program. For the Faculty of Medicine, tuition is approximately $8,200 USD (€7,000) per year. Other programs can range from $2,000 to $5,000 USD per year. A one-time application fee is also required.",Fees for Serbian and EU students are generally much lower than for non-EU students and can vary by program and academic performance.,2/17,1201-1400,"Yes, though university-specific scholarships for international students are limited.",Public,10:1,https://www.uns.ac.rs/en// 
University of Niš,Serbia,Serbian and English,"The university generally requires a B2 level of English proficiency, which is equivalent to an IELTS Academic score of 6.0-6.5 or higher. For the English-taught medical program, applicants must attend an interview to evaluate their English-speaking skills.","The university does not specify a minimum GPA requirement. However, for medicine, admission is based on a scoring system that gives 40% weight to the high school GPA and 60% to the entrance exam.","GMAT, GRE, and SAT scores are not a standard requirement. Instead, applicants for the medical program in English must take a compulsory entrance exam in biology and chemistry.","The university's acceptance rate is not officially published, but a reputable source states a rate of 65% for medicine. However, with limited spots for non-EU students, admission is considered highly competitive.","tuition fees for the English-taught medical program are approximately $7,050 USD (€6,500) per year. Other programs can have a lower annual tuition, ranging from $1,000 to $6,000 USD (€650 to €5,500) depending on the faculty.",Fees for Serbian and EU students are generally much lower than for non-EU students and can vary by program and academic performance.,ranked as one of the top 5 universities in Serbia.,1201-1400,"Yes, though university-specific scholarships for international students are limited.",Public,14:1,https://www.ni.ac.rs/en/
